Expected Impact / Date,Actual,Forecast,Previous
"Feb 13, 2026",0.2%,0.3%,0.3%
"Jan 13, 2026",0.3%,0.3%,0.3%
"Oct 24, 2025",0.3%,0.4%,0.4%
"Sep 11, 2025",0.4%,0.3%,0.2%
"Aug 12, 2025",0.2%,0.2%,0.3%
"Jul 15, 2025",0.3%,0.3%,0.1%
"Jun 11, 2025",0.1%,0.2%,0.2%
"May 13, 2025",0.2%,0.3%,-0.1%
"Apr 10, 2025",-0.1%,0.1%,0.2%
"Mar 12, 2025",0.2%,0.3%,0.5%
"Feb 12, 2025",0.5%,0.3%,0.4%
"Jan 15, 2025",0.4%,0.4%,0.3%
"Dec 11, 2024",0.3%,0.3%,0.2%
"Nov 13, 2024",0.2%,0.2%,0.2%
"Oct 10, 2024",0.2%,0.1%,0.2%
"Sep 11, 2024",0.2%,0.2%,0.2%
"Aug 14, 2024",0.2%,0.2%,-0.1%
"Jul 11, 2024",-0.1%,0.1%,0.0%
"Jun 12, 2024",0.0%,0.1%,0.3%
"May 15, 2024",0.3%,0.4%,0.4%
"Apr 10, 2024",0.4%,0.3%,0.4%
"Mar 12, 2024",0.4%,0.4%,0.3%
"Feb 13, 2024",0.3%,0.2%,0.3%
"Jan 11, 2024",0.3%,0.2%,0.1%
"Dec 12, 2023",0.1%,0.0%,0.0%
"Nov 14, 2023",0.0%,0.1%,0.4%
"Oct 12, 2023",0.4%,0.3%,0.6%
"Sep 13, 2023",0.6%,0.6%,0.2%
"Aug 10, 2023",0.2%,0.2%,0.2%
"Jul 12, 2023",0.2%,0.3%,0.1%
"Jun 13, 2023",0.1%,0.2%,0.4%
"May 10, 2023",0.4%,0.4%,0.1%
"Apr 12, 2023",0.1%,0.2%,0.4%
"Mar 14, 2023",0.4%,0.4%,0.5%
"Feb 14, 2023",0.5%,0.5%,-0.1%
"Jan 12, 2023",-0.1%,-0.1%,0.1%
"Dec 13, 2022",0.1%,0.3%,0.4%
"Nov 10, 2022",0.4%,0.6%,0.4%
"Oct 13, 2022",0.4%,0.2%,0.1%
"Sep 13, 2022",0.1%,-0.1%,0.0%
"Aug 10, 2022",0.0%,0.2%,1.3%
"Jul 13, 2022",1.3%,1.1%,1.0%
"Jun 10, 2022",1.0%,0.7%,0.3%
"May 11, 2022",0.3%,0.2%,1.2%
"Apr 12, 2022",1.2%,1.2%,0.8%
"Mar 10, 2022",0.8%,0.8%,0.6%
"Feb 10, 2022",0.6%,0.4%,0.5%
"Jan 12, 2022",0.5%,0.4%,0.8%
"Dec 10, 2021",0.8%,0.7%,0.9%
"Nov 10, 2021",0.9%,0.6%,0.4%
"Oct 13, 2021",0.4%,0.3%,0.3%
"Sep 14, 2021",0.3%,0.4%,0.5%
"Aug 11, 2021",0.5%,0.5%,0.9%
"Jul 13, 2021",0.9%,0.5%,0.6%
"Jun 10, 2021",0.6%,0.4%,0.8%
"May 12, 2021",0.8%,0.2%,0.6%
"Apr 13, 2021",0.6%,0.5%,0.4%
"Mar 10, 2021",0.4%,0.4%,0.3%
"Feb 10, 2021",0.3%,0.3%,0.4%
"Jan 13, 2021",0.4%,0.4%,0.2%
"Dec 10, 2020",0.2%,0.1%,0.0%
"Nov 12, 2020",0.0%,0.1%,0.2%
"Oct 13, 2020",0.2%,0.2%,0.4%
"Sep 11, 2020",0.4%,0.3%,0.6%
"Aug 12, 2020",0.6%,0.3%,0.6%
"Jul 14, 2020",0.6%,0.5%,-0.1%
"Jun 10, 2020",-0.1%,0.0%,-0.8%
"May 12, 2020",-0.8%,-0.7%,-0.4%
"Apr 10, 2020",-0.4%,-0.3%,0.1%
"Mar 11, 2020",0.1%,0.0%,0.1%
"Feb 13, 2020",0.1%,0.2%,0.2%
"Jan 14, 2020",0.2%,0.2%,0.3%
"Dec 11, 2019",0.3%,0.2%,0.4%
"Nov 13, 2019",0.4%,0.3%,0.0%
"Oct 10, 2019",0.0%,0.1%,0.1%
"Sep 12, 2019",0.1%,0.1%,0.3%
"Aug 13, 2019",0.3%,0.3%,0.1%
"Jul 11, 2019",0.1%,0.0%,0.1%
"Jun 12, 2019",0.1%,0.1%,0.3%
"May 10, 2019",0.3%,0.4%,0.4%
"Apr 10, 2019",0.4%,0.3%,0.2%
"Mar 12, 2019",0.2%,0.2%,0.0%
"Feb 13, 2019",0.0%,0.1%,-0.1%
"Jan 11, 2019",-0.1%,-0.1%,0.0%
"Dec 12, 2018",0.0%,0.0%,0.3%
"Nov 14, 2018",0.3%,0.3%,0.1%
"Oct 11, 2018",0.1%,0.2%,0.2%
"Sep 13, 2018",0.2%,0.3%,0.2%
"Aug 10, 2018",0.2%,0.2%,0.1%
"Jul 12, 2018",0.1%,0.2%,0.2%
"Jun 12, 2018",0.2%,0.2%,0.2%
"May 10, 2018",0.2%,0.3%,-0.1%
"Apr 11, 2018",-0.1%,0.0%,0.2%
"Mar 13, 2018",0.2%,0.2%,0.5%
"Feb 14, 2018",0.5%,0.3%,0.1%
"Jan 12, 2018",0.1%,0.1%,0.4%
"Dec 13, 2017",0.4%,0.4%,0.1%
"Nov 15, 2017",0.1%,0.1%,0.5%
"Oct 13, 2017",0.5%,0.6%,0.4%
"Sep 14, 2017",0.4%,0.3%,0.1%
"Aug 11, 2017",0.1%,0.2%,0.0%
"Jul 14, 2017",0.0%,0.1%,-0.1%
"Jun 14, 2017",-0.1%,0.2%,0.2%
