Expected Impact / Date,Actual,Forecast,Previous
"Feb 13, 2026",2.4%,2.5%,2.7%
"Jan 13, 2026",2.7%,2.7%,2.7%
"Dec 18, 2025",2.7%,3.1%,3.0%
"Oct 24, 2025",3.0%,3.1%,2.9%
"Sep 11, 2025",2.9%,2.9%,2.7%
"Aug 12, 2025",2.7%,2.8%,2.7%
"Jul 15, 2025",2.7%,2.6%,2.4%
"Jun 11, 2025",2.4%,2.5%,2.3%
"May 13, 2025",2.3%,2.4%,2.4%
"Apr 10, 2025",2.4%,2.5%,2.8%
"Mar 12, 2025",2.8%,2.9%,3.0%
"Feb 12, 2025",3.0%,2.9%,2.9%
"Jan 15, 2025",2.9%,2.9%,2.7%
"Dec 11, 2024",2.7%,2.7%,2.6%
"Nov 13, 2024",2.6%,2.6%,2.4%
"Oct 10, 2024",2.4%,2.3%,2.5%
"Sep 11, 2024",2.5%,2.5%,2.9%
"Aug 14, 2024",2.9%,3.0%,3.0%
"Jul 11, 2024",3.0%,3.1%,3.3%
"Jun 12, 2024",3.3%,3.4%,3.4%
"May 15, 2024",3.4%,3.4%,3.5%
"Apr 10, 2024",3.5%,3.4%,3.2%
"Mar 12, 2024",3.2%,3.1%,3.1%
"Feb 13, 2024",3.1%,2.9%,3.4%
"Jan 11, 2024",3.4%,3.2%,3.1%
"Dec 12, 2023",3.1%,3.1%,3.2%
"Nov 14, 2023",3.2%,3.3%,3.7%
"Oct 12, 2023",3.7%,3.6%,3.7%
"Sep 13, 2023",3.7%,3.6%,3.2%
"Aug 10, 2023",3.2%,3.3%,3.0%
"Jul 12, 2023",3.0%,3.1%,4.0%
"Jun 13, 2023",4.0%,4.1%,4.9%
"May 10, 2023",4.9%,5.0%,5.0%
"Apr 12, 2023",5.0%,5.1%,6.0%
"Mar 14, 2023",6.0%,6.0%,6.4%
"Feb 14, 2023",6.4%,6.2%,6.5%
"Jan 12, 2023",6.5%,6.5%,7.1%
"Dec 13, 2022",7.1%,7.3%,7.7%
"Nov 10, 2022",7.7%,7.9%,8.2%
"Oct 13, 2022",8.2%,8.1%,8.3%
"Sep 13, 2022",8.3%,8.1%,8.5%
"Aug 10, 2022",8.5%,8.7%,9.1%
"Jul 13, 2022",9.1%,8.7%,8.6%
"Jun 10, 2022",8.6%,8.3%,8.3%
"May 11, 2022",8.3%,8.1%,8.5%
"Apr 12, 2022",8.5%,8.4%,7.9%
"Mar 10, 2022",7.9%,7.9%,7.5%
"Feb 10, 2022",7.5%,7.2%,7.0%
"Jan 12, 2022",7.0%,7.0%,6.8%
"Dec 10, 2021",6.8%,6.8%,6.2%
"Nov 10, 2021",6.2%,5.9%,5.4%
"Oct 13, 2021",5.4%,5.3%,5.3%
"Sep 14, 2021",5.3%,5.3%,5.4%
"Aug 11, 2021",5.4%,5.3%,5.4%
"Jul 13, 2021",5.4%,4.9%,5.0%
"Jun 10, 2021",5.0%,4.7%,4.2%
"May 12, 2021",4.2%,3.6%,2.6%
"Apr 13, 2021",2.6%,2.5%,1.7%
"Mar 10, 2021",1.7%,1.7%,1.4%
"Feb 10, 2021",1.4%,1.4%,1.4%
"Jan 13, 2021",1.4%,1.4%,1.2%
"Dec 10, 2020",1.2%,1.2%,1.2%
"Nov 12, 2020",1.2%,1.3%,1.4%
"Oct 13, 2020",1.4%,1.4%,1.3%
"Sep 11, 2020",1.3%,1.2%,1.0%
"Aug 12, 2020",1.0%,0.7%,0.6%
"Jul 14, 2020",0.6%,0.6%,0.1%
"Jun 10, 2020",0.1%,0.3%,0.3%
"May 12, 2020",0.3%,0.4%,1.5%
"Apr 10, 2020",1.5%,1.6%,2.3%
"Mar 11, 2020",2.3%,2.2%,2.5%
"Feb 13, 2020",2.5%,2.4%,2.3%
"Jan 14, 2020",2.3%,2.3%,2.1%
"Dec 11, 2019",2.1%,2.0%,1.8%
"Nov 13, 2019",1.8%,1.7%,1.7%
"Oct 10, 2019",1.7%,1.8%,1.7%
"Sep 12, 2019",1.7%,1.8%,1.8%
"Aug 13, 2019",1.8%,1.7%,1.6%
"Jul 11, 2019",1.6%,1.6%,1.8%
"Jun 12, 2019",1.8%,1.9%,2.0%
"May 10, 2019",2.0%,2.1%,1.9%
"Apr 10, 2019",1.9%,1.8%,1.5%
"Mar 12, 2019",1.5%,1.6%,1.6%
"Feb 13, 2019",1.6%,1.5%,1.9%
"Jan 11, 2019",1.9%,1.9%,2.2%
"Dec 12, 2018",2.2%,2.2%,2.5%
"Nov 14, 2018",2.5%,2.5%,2.3%
"Oct 11, 2018",2.3%,2.4%,2.7%
"Sep 13, 2018",2.7%,2.8%,2.9%
"Aug 10, 2018",2.9%,2.9%,2.9%
"Jul 12, 2018",2.9%,2.9%,2.8%
"Jun 12, 2018",2.8%,2.8%,2.5%
"May 10, 2018",2.5%,2.5%,2.4%
"Apr 11, 2018",2.4%,2.4%,2.2%
"Mar 13, 2018",2.2%,2.2%,2.1%
"Feb 14, 2018",2.1%,1.9%,2.1%
"Jan 12, 2018",2.1%,2.1%,2.2%
"Dec 13, 2017",2.2%,2.2%,2.0%
"Nov 15, 2017",2.0%,2.0%,2.2%
"Oct 13, 2017",2.2%,2.3%,1.9%
"Sep 14, 2017",1.9%,1.8%,1.7%
"Aug 11, 2017",1.7%,1.8%,1.6%
"Jul 14, 2017",1.6%,1.7%,1.9%
"Jun 14, 2017",1.9%,2.0%,2.2%
"May 12, 2017",2.2%,2.3%,2.4%
"Apr 14, 2017",2.4%,2.6%,2.7%
"Mar 15, 2017",2.7%,2.7%,2.5%
"Feb 15, 2017",2.5%,2.4%,2.1%
"Jan 18, 2017",2.1%,2.1%,1.7%
"Dec 15, 2016",1.7%,1.7%,1.6%
"Nov 17, 2016",1.6%,1.6%,1.5%
"Oct 18, 2016",1.5%,1.5%,1.1%
"Sep 16, 2016",1.1%,1.0%,0.8%
"Aug 16, 2016",0.8%,0.9%,1.0%
"Jul 15, 2016",1.0%,1.1%,1.0%
"Jun 16, 2016",1.0%,1.0%,1.1%
"May 17, 2016",1.1%,1.0%,0.9%
"Apr 14, 2016",0.9%,1.1%,1.0%
"Mar 16, 2016",1.0%,0.9%,1.4%
"Feb 19, 2016",1.4%,1.3%,0.7%
"Jan 20, 2016",0.7%,0.8%,0.5%
"Dec 15, 2015",0.5%,0.5%,0.2%
"Nov 17, 2015",0.2%,0.1%,0.0%
"Oct 15, 2015",0.0%,-0.1%,0.2%
"Sep 16, 2015",0.2%,0.2%,0.2%
"Aug 19, 2015",0.2%,0.2%,0.1%
"Jul 17, 2015",0.1%,0.0%,0.0%
"Jun 18, 2015",0.0%,0.1%,-0.2%
"May 22, 2015",-0.2%,-0.2%,-0.1%
"Apr 17, 2015",-0.1%,0.0%,-0.1%
"Mar 24, 2015",0.0%,-0.1%,-0.1%
"Feb 26, 2015",-0.1%,-0.1%,0.8%
"Jan 16, 2015",0.8%,0.7%,1.3%
"Dec 17, 2014",1.3%,1.4%,1.7%
"Nov 20, 2014",1.7%,1.6%,1.7%
"Oct 22, 2014",1.7%,1.6%,1.7%
"Sep 17, 2014",1.7%,1.9%,2.0%
"Aug 19, 2014",2.0%,2.0%,2.1%
"Jul 22, 2014",2.1%,2.1%,2.1%
"Jun 17, 2014",2.1%,2.0%,2.0%
"May 15, 2014",2.0%,2.0%,1.5%
"Apr 15, 2014",1.5%,1.5%,1.1%
"Mar 18, 2014",1.1%,1.2%,1.6%
"Feb 20, 2014",1.6%,1.6%,1.5%
"Jan 16, 2014",1.5%,1.5%,1.2%
"Dec 17, 2013",1.2%,1.2%,1.0%
"Nov 20, 2013",1.0%,1.0%,1.2%
"Oct 30, 2013",1.2%,1.2%,1.5%
"Sep 17, 2013",1.5%,1.6%,2.0%
"Aug 15, 2013",2.0%,2.0%,1.8%
"Jul 16, 2013",1.8%,1.6%,1.4%
"Jun 18, 2013",1.4%,1.4%,1.1%
