📊 خلاصه پوشه: Best_1h
تاریخ تولید,2026-07-21 09:27:26

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
1,PAXGUSDT-1m,1040,379,661,36.44,-164.6904,-164.6904,-10.94,22,-180.40,0.855,-0.232,⚠️ منفی,36.44,4.81,0.19,0.00,6.2267,-0.4998,0.6828,18,63.7357,-38.70,0.00,0.00,70,0,-2.3527,3.4800,10.8327,-8.8968,17.14,3.4567,-3.5547,18,14.86,4.09,-0.676,-1.113,-179.56,0,-0.157
2,ETHUSDT-1m_XRPUSDT-1m,2342,598,1744,25.53,-154.2613,-154.2613,-10.50,21,-218.97,2.398,-0.042,⚠️ منفی,25.53,7.56,1.11,0.00,31.2843,-0.4998,1.5871,83,502.6668,-325.85,0.00,0.00,101,0,-1.5273,8.6941,50.2961,-12.2952,28.71,7.6594,-5.2276,20,23.19,6.17,-0.176,-0.493,-212.77,0,-0.086
3,BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,4035,1253,2782,31.05,-366.9483,-366.9483,-10.50,21,-389.43,1.630,-0.077,⚠️ منفی,31.05,7.09,0.74,0.00,31.2843,-0.4998,1.1863,126,624.4083,-170.16,0.00,0.00,101,0,-3.6332,8.5730,35.5694,-18.4121,24.75,7.7247,-7.3693,8,39.95,10.53,-0.424,-0.915,-385.63,0,-0.113
4,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,3090,880,2210,28.48,-245.3371,-245.3371,-10.50,21,-310.89,1.948,-0.059,⚠️ منفی,28.48,7.41,0.81,0.00,29.1853,-0.4998,1.3378,103,552.7331,-225.30,0.00,0.00,101,0,-2.4291,8.7323,58.8910,-17.3190,27.72,6.6162,-5.8985,20,30.59,13.57,-0.278,-0.638,-306.09,0,-0.095
5,SOLUSDT-1m,827,168,659,20.31,-80.5040,-80.5040,-11.00,22,-97.27,2.962,-0.078,⚠️ منفی,20.31,8.95,0.85,0.00,11.4942,-0.4998,1.2402,170,247.8646,-307.89,0.00,0.00,70,0,-1.1501,4.2655,12.2932,-9.4962,34.29,3.3258,-3.4853,16,11.81,3.41,-0.270,-0.505,-96.67,0,-0.143
6,BTCUSDT-1m_ETHUSDT-1m,3099,942,2157,30.40,-48.2820,-48.2820,-11.00,22,-181.01,2.187,-0.011,⚠️ منفی,30.40,8.68,1.10,0.00,29.1853,-0.4998,1.4827,127,700.1243,-1450.07,0.00,0.00,101,0,-0.4780,9.9587,52.7603,-15.3945,40.59,8.1136,-6.3490,8,30.68,6.34,-0.048,-0.124,-172.11,0,-0.033
7,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,4139,1321,2818,31.92,-212.9724,-212.9724,-11.00,22,-324.37,1.808,-0.039,⚠️ منفی,31.92,7.71,0.87,0.00,29.1853,-0.4998,1.3292,145,763.8600,-358.67,0.00,0.00,101,0,-2.1086,10.0974,53.0594,-16.2419,30.69,9.0174,-7.0359,8,40.98,9.94,-0.209,-0.483,-315.46,0,-0.080
8,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,3926,1110,2816,28.27,-128.7860,-128.7860,-11.00,22,-223.66,2.304,-0.023,⚠️ منفی,28.27,8.74,1.04,0.00,29.1853,-0.4998,1.4352,161,868.0624,-674.03,0.00,0.00,101,0,-1.2751,10.5499,56.5579,-15.9942,37.62,8.6374,-7.2541,8,38.87,8.90,-0.121,-0.281,-213.33,0,-0.072
9,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,4966,1489,3477,29.98,-293.4764,-293.4764,-11.00,22,-369.95,1.938,-0.045,⚠️ منفی,29.98,7.91,0.87,0.00,29.1853,-0.4998,1.3148,179,931.7981,-317.50,0.00,0.00,101,0,-2.9057,10.6104,56.8570,-17.7387,29.70,9.0130,-7.9418,8,49.17,14.57,-0.274,-0.575,-364.42,0,-0.096
10,XRPUSDT-1m,1119,265,854,23.68,-154.1186,-154.1186,-11.50,23,-154.41,2.055,-0.100,⚠️ منفی,23.68,6.43,0.89,0.00,31.2843,-0.4998,1.3793,269,270.7114,-175.65,0.00,0.00,97,0,-1.5889,5.1303,35.7814,-9.1965,23.71,4.4929,-3.4791,13,11.54,3.52,-0.310,-0.941,-154.12,0,-0.124
