📊 خلاصه پوشه: Best_30m
تاریخ تولید,2026-07-21 09:27:26

ردیف,ترکیب کوین‌ها,معاملات,سودده,زیانده,وین‌ریت(%),بازده واقعی(%),بازده ویژه(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,وضعیت,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
1,BTCUSDT-1m_ETHUSDT-1m,6573,2196,4377,33.41,-310.5165,-310.5165,-10.50,21,-312.42,1.709,-0.039,⚠️ منفی,33.41,8.31,0.85,0.00,27.0864,-0.4998,1.1962,234,1134.9238,-365.50,0.00,0.00,101,0,-3.0744,10.8637,42.5521,-23.9918,34.65,8.3480,-9.1318,8,65.08,11.33,-0.283,-0.526,-310.52,0,-0.119
2,BTCUSDT-1m_XRPUSDT-1m,6595,2105,4490,31.92,-599.5472,-599.5472,-10.50,21,-621.37,1.561,-0.081,⚠️ منفی,31.92,7.11,0.76,0.00,24.9874,-0.4998,1.1206,200,984.0979,-164.14,0.00,0.00,101,0,-5.9361,10.0827,35.4709,-23.2745,23.76,8.1194,-10.3170,13,65.30,12.72,-0.589,-1.028,-620.57,0,-0.115
3,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,7333,2394,4939,32.65,-762.4703,-762.4703,-10.50,21,-762.77,1.420,-0.102,⚠️ منفی,32.65,6.97,0.56,0.00,17.0914,-0.5490,1.0182,206,940.3288,-123.33,0.00,0.00,101,0,-7.5492,11.1632,31.9723,-41.7622,22.77,7.3784,-11.9509,10,72.60,26.77,-0.676,-0.989,-762.47,0,-0.119
4,BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,8319,2739,5580,32.92,-909.8368,-909.8368,-10.50,21,-926.91,1.367,-0.106,⚠️ منفی,32.92,6.52,0.60,0.00,24.9874,-0.5490,1.0338,221,1051.9243,-115.62,0.00,0.00,101,0,-9.0083,11.0751,29.7730,-38.9639,17.82,8.7206,-12.8531,16,82.37,18.33,-0.813,-1.233,-926.11,0,-0.117
5,PAXGUSDT-1m,1724,634,1090,36.77,-310.2896,-310.2896,-12.00,24,-334.68,0.710,-0.305,⚠️ منفی,36.77,4.23,0.00,0.00,4.8975,-0.5490,0.5895,21,67.8264,-21.86,0.00,0.00,70,0,-4.4327,4.8458,8.9046,-16.8477,14.29,4.7105,-5.9566,19,24.63,6.49,-0.915,-1.417,-330.76,0,-0.161
6,XRPUSDT-1m,2979,873,2106,29.31,-347.0870,-347.0870,-11.00,22,-382.81,1.616,-0.101,⚠️ منفی,29.31,6.65,0.77,0.00,24.9874,-0.4998,1.1509,80,424.2244,-122.22,0.00,0.00,97,0,-3.5782,6.6551,21.8341,-14.3069,22.68,5.6423,-6.2829,14,30.71,6.45,-0.538,-1.017,-382.31,0,-0.112
7,BTCUSDT-1m_SOLUSDT-1m,5609,1760,3849,31.38,-452.1807,-452.1807,-11.00,22,-452.48,1.671,-0.072,⚠️ منفی,31.38,7.81,0.73,0.00,17.0914,-0.4998,1.1163,185,872.5024,-192.95,0.00,0.00,101,0,-4.4770,10.1392,37.6702,-24.9145,23.76,9.6443,-8.8785,19,55.53,15.87,-0.442,-0.854,-452.18,0,-0.119
8,PAXGUSDT-1m_XRPUSDT-1m,4703,1507,3196,32.04,-657.3766,-657.3766,-11.00,22,-695.38,1.238,-0.142,⚠️ منفی,32.04,5.76,0.49,0.00,24.9874,-0.5490,0.9835,101,492.0508,-74.85,0.00,0.00,97,0,-6.7771,8.0705,24.5420,-24.7452,15.46,7.0376,-9.3042,17,48.48,13.00,-0.840,-1.296,-690.77,0,-0.118
9,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,8297,2830,5467,34.11,-620.8061,-620.8061,-11.50,23,-622.71,1.489,-0.068,⚠️ منفی,34.11,7.46,0.67,0.00,27.0864,-0.5490,1.0993,255,1202.7502,-193.74,0.00,0.00,101,0,-6.1466,11.9932,36.8542,-39.6001,27.72,8.2417,-11.6654,10,82.15,16.84,-0.513,-0.792,-620.81,0,-0.119
10,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,6674,2126,4548,31.85,-568.0665,-568.0665,-11.50,23,-582.36,1.600,-0.076,⚠️ منفی,31.85,7.72,0.64,0.00,27.0864,-0.5490,1.1186,200,955.5055,-168.20,0.00,0.00,101,0,-5.6244,10.6043,20.8924,-36.0774,24.75,7.0611,-9.7973,12,66.08,26.78,-0.530,-0.683,-578.47,0,-0.117
