گروه,پوشه,symbol,معاملات,سودده,زیانده,وین‌ریت(%),حداکثر ضرر متوالی(%),تعداد ضررهای متوالی,افت سرمایه(%),P/L ratio,شارپ,بازده واقعی(%),بازده ویژه(%),نوع,درصد سود > ۰%,درصد سود > ۱%,درصد سود > ۵%,درصد ضرر > ۵%,بیشترین سود یک معامله(%),بیشترین ضرر یک معامله(%),انحراف معیار سود,تعداد اوت‌لایرها,مجموع سود اوت‌لایرها(%),درصد سود از اوت‌لایرها,سهم بهترین معامله از بازده کل(%),سهم ۳ معامله برتر از بازده کل(%),بازه بکتست (ماه),ماه‌های بدون معامله,میانگین سود ماهانه,انحراف معیار سود ماهانه,بهترین ماه(%),بدترین ماه(%),درصد ماه‌های سودده,میانگین سود در ماه‌های سودده,میانگین ضرر در ماه‌های ضررده,بیشترین ضرر متوالی ماهانه,تعداد معاملات در ماه (میانگین),انحراف معیار تعداد معاملات,نسبت شارپ (ماهانه),نسبت سورتینو,حداکثر افت سرمایه(%),مدت بازگشت از افت (ماه),نسبت کالمار
aggregated,Best_15m_PAXGUSDT-1m,PAXGUSDT-1m,2683,1034,1649,38.54,-11.92,25,-471.90,0.683,-0.293,-458.5905,-458.5905,اصلی,38.54,4.17,0.00,0.00,4.8975,-0.5881,0.5840,31,99.4511,-21.69,0.00,0.00,70,0,-6.5513,7.0096,9.8820,-32.4630,17.14,3.4358,-8.6176,30,38.33,12.43,-0.935,-1.154,-467.90,0,-0.168
aggregated,Best_15m_ETHUSDT-1m,ETHUSDT-1m,6230,2287,3943,36.71,-11.00,22,-339.22,1.462,-0.043,-299.0481,-299.0481,اصلی,36.71,8.19,0.56,0.00,29.1854,-0.4998,1.1041,208,942.6956,-315.23,0.00,0.00,101,0,-2.9609,7.9630,26.0833,-21.0589,34.65,5.5230,-7.4599,11,61.68,10.45,-0.372,-0.584,-328.02,0,-0.108
aggregated,Best_1h_PAXGUSDT-1m,PAXGUSDT-1m,1040,379,661,36.44,-10.94,22,-180.40,0.855,-0.232,-164.6904,-164.6904,اصلی,36.44,4.81,0.19,0.00,6.2267,-0.4998,0.6828,18,63.7357,-38.70,0.00,0.00,70,0,-2.3527,3.4800,10.8327,-8.8968,17.14,3.4567,-3.5547,18,14.86,4.09,-0.676,-1.113,-179.56,0,-0.157
aggregated,Best_15m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,15457,5750,9707,37.20,-11.50,23,-1219.20,1.263,-0.076,-1212.2166,-1212.2166,اصلی,37.20,6.98,0.50,0.00,29.1854,-0.5881,1.0291,410,1913.7347,-157.87,0.00,0.00,101,0,-12.0021,14.5006,26.1807,-51.7387,22.77,7.5043,-17.7541,18,153.04,28.38,-0.828,-1.146,-1212.22,0,-0.119
aggregated,Best_15m_BTCUSDT-1m_ETHUSDT-1m,BTCUSDT-1m_ETHUSDT-1m,12774,4716,8058,36.92,-11.50,23,-758.41,1.388,-0.054,-753.6261,-753.6261,اصلی,36.92,7.57,0.60,0.00,29.1854,-0.4998,1.0990,379,1814.2836,-240.74,0.00,0.00,101,0,-7.4616,12.5334,29.2703,-35.1902,27.72,8.3502,-13.5265,11,126.48,20.06,-0.595,-0.937,-753.63,0,-0.119
aggregated,Best_15m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,19407,6745,12662,34.76,-10.50,21,-1822.99,1.344,-0.091,-1786.6294,-1786.6294,اصلی,34.76,7.28,0.45,0.00,29.1854,-0.5881,1.0088,520,2352.0035,-131.64,0.00,0.00,101,0,-17.6894,15.7698,26.0833,-57.3423,8.91,10.3536,-20.4327,40,192.15,56.14,-1.122,-1.305,-1808.71,0,-0.117
aggregated,Best_30m_BTCUSDT-1m_ETHUSDT-1m,BTCUSDT-1m_ETHUSDT-1m,6573,2196,4377,33.41,-10.50,21,-312.42,1.709,-0.039,-310.5165,-310.5165,اصلی,33.41,8.31,0.85,0.00,27.0864,-0.4998,1.1962,234,1134.9238,-365.50,0.00,0.00,101,0,-3.0744,10.8637,42.5521,-23.9918,34.65,8.3480,-9.1318,8,65.08,11.33,-0.283,-0.526,-310.52,0,-0.119
aggregated,Best_30m_BTCUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_XRPUSDT-1m,6595,2105,4490,31.92,-10.50,21,-621.37,1.561,-0.081,-599.5472,-599.5472,اصلی,31.92,7.11,0.76,0.00,24.9874,-0.4998,1.1206,200,984.0979,-164.14,0.00,0.00,101,0,-5.9361,10.0827,35.4709,-23.2745,23.76,8.1194,-10.3170,13,65.30,12.72,-0.589,-1.028,-620.57,0,-0.115
aggregated,Best_30m_BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,7333,2394,4939,32.65,-10.50,21,-762.77,1.420,-0.102,-762.4703,-762.4703,اصلی,32.65,6.97,0.56,0.00,17.0914,-0.5490,1.0182,206,940.3288,-123.33,0.00,0.00,101,0,-7.5492,11.1632,31.9723,-41.7622,22.77,7.3784,-11.9509,10,72.60,26.77,-0.676,-0.989,-762.47,0,-0.119
aggregated,Best_30m_BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,8319,2739,5580,32.92,-10.50,21,-926.91,1.367,-0.106,-909.8368,-909.8368,اصلی,32.92,6.52,0.60,0.00,24.9874,-0.5490,1.0338,221,1051.9243,-115.62,0.00,0.00,101,0,-9.0083,11.0751,29.7730,-38.9639,17.82,8.7206,-12.8531,16,82.37,18.33,-0.813,-1.233,-926.11,0,-0.117
aggregated,Best_1h_ETHUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_XRPUSDT-1m,2342,598,1744,25.53,-10.50,21,-218.97,2.398,-0.042,-154.2613,-154.2613,اصلی,25.53,7.56,1.11,0.00,31.2843,-0.4998,1.5871,83,502.6668,-325.85,0.00,0.00,101,0,-1.5273,8.6941,50.2961,-12.2952,28.71,7.6594,-5.2276,20,23.19,6.17,-0.176,-0.493,-212.77,0,-0.086
aggregated,Best_1h_BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,4035,1253,2782,31.05,-10.50,21,-389.43,1.630,-0.077,-366.9483,-366.9483,اصلی,31.05,7.09,0.74,0.00,31.2843,-0.4998,1.1863,126,624.4083,-170.16,0.00,0.00,101,0,-3.6332,8.5730,35.5694,-18.4121,24.75,7.7247,-7.3693,8,39.95,10.53,-0.424,-0.915,-385.63,0,-0.113
aggregated,Best_1h_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,3090,880,2210,28.48,-10.50,21,-310.89,1.948,-0.059,-245.3371,-245.3371,اصلی,28.48,7.41,0.81,0.00,29.1853,-0.4998,1.3378,103,552.7331,-225.30,0.00,0.00,101,0,-2.4291,8.7323,58.8910,-17.3190,27.72,6.6162,-5.8985,20,30.59,13.57,-0.278,-0.638,-306.09,0,-0.095
aggregated,Best_15m_BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,19721,6887,12834,34.92,-10.61,22,-1944.45,1.295,-0.098,-1942.1593,-1942.1593,اصلی,34.92,6.90,0.48,0.00,22.9885,-0.5881,1.0065,483,2280.8958,-117.44,0.00,0.00,101,0,-19.2293,16.5194,25.9806,-64.7995,12.87,8.3119,-23.2979,22,195.26,54.65,-1.164,-1.461,-1942.16,0,-0.119
aggregated,Best_15m_BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,15435,5490,9945,35.57,-11.00,22,-1663.09,1.201,-0.111,-1660.8015,-1660.8015,اصلی,35.57,6.39,0.47,0.00,18.9905,-0.5881,0.9668,352,1661.4309,-100.04,0.00,0.00,101,0,-16.4436,14.9853,25.9806,-59.5988,15.84,7.1405,-20.8829,13,152.82,30.31,-1.097,-1.426,-1660.80,0,-0.119
aggregated,Best_15m_BTCUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_SOLUSDT-1m,10830,3826,7004,35.33,-11.00,22,-736.04,1.444,-0.061,-735.9358,-735.9358,اصلی,35.33,7.67,0.59,0.00,22.9885,-0.5122,1.1115,302,1491.0529,-202.61,0.00,0.00,101,0,-7.2865,12.0407,28.4498,-28.5005,22.77,10.3596,-12.4898,16,107.23,30.03,-0.605,-1.037,-735.94,0,-0.119
aggregated,Best_15m_ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m_XRPUSDT-1m,15121,5348,9773,35.37,-11.00,22,-1541.63,1.260,-0.103,-1505.2716,-1505.2716,اصلی,35.37,6.87,0.43,0.00,29.1854,-0.5881,0.9691,389,1732.5385,-115.10,0.00,0.00,101,0,-14.9037,14.4387,26.0833,-49.8032,12.87,8.5098,-18.3625,13,149.71,31.62,-1.032,-1.261,-1527.35,0,-0.117
aggregated,Best_15m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,19743,7147,12596,36.20,-11.50,23,-1500.55,1.342,-0.072,-1493.5744,-1493.5744,اصلی,36.20,7.36,0.50,0.00,29.1854,-0.5881,1.0536,541,2533.1996,-169.61,0.00,0.00,101,0,-14.7879,16.5490,26.1807,-58.0399,20.79,8.5216,-20.9066,18,195.48,50.49,-0.894,-1.211,-1493.57,0,-0.119
aggregated,Best_15m_BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,17038,5853,11185,34.35,-11.00,22,-1483.67,1.402,-0.082,-1483.5687,-1483.5687,اصلی,34.35,7.32,0.55,0.00,22.9885,-0.5207,1.0574,452,2181.4447,-147.04,0.00,0.00,101,0,-14.6888,14.6730,29.6083,-45.0138,16.83,8.6375,-19.4096,22,168.69,37.70,-1.001,-1.395,-1483.57,0,-0.119
aggregated,Best_30m_PAXGUSDT-1m,PAXGUSDT-1m,1724,634,1090,36.77,-12.00,24,-334.68,0.710,-0.305,-310.2896,-310.2896,اصلی,36.77,4.23,0.00,0.00,4.8975,-0.5490,0.5895,21,67.8264,-21.86,0.00,0.00,70,0,-4.4327,4.8458,8.9046,-16.8477,14.29,4.7105,-5.9566,19,24.63,6.49,-0.915,-1.417,-330.76,0,-0.161
aggregated,Best_30m_XRPUSDT-1m,XRPUSDT-1m,2979,873,2106,29.31,-11.00,22,-382.81,1.616,-0.101,-347.0870,-347.0870,اصلی,29.31,6.65,0.77,0.00,24.9874,-0.4998,1.1509,80,424.2244,-122.22,0.00,0.00,97,0,-3.5782,6.6551,21.8341,-14.3069,22.68,5.6423,-6.2829,14,30.71,6.45,-0.538,-1.017,-382.31,0,-0.112
aggregated,Best_30m_BTCUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_SOLUSDT-1m,5609,1760,3849,31.38,-11.00,22,-452.48,1.671,-0.072,-452.1807,-452.1807,اصلی,31.38,7.81,0.73,0.00,17.0914,-0.4998,1.1163,185,872.5024,-192.95,0.00,0.00,101,0,-4.4770,10.1392,37.6702,-24.9145,23.76,9.6443,-8.8785,19,55.53,15.87,-0.442,-0.854,-452.18,0,-0.119
aggregated,Best_30m_PAXGUSDT-1m_XRPUSDT-1m,PAXGUSDT-1m_XRPUSDT-1m,4703,1507,3196,32.04,-11.00,22,-695.38,1.238,-0.142,-657.3766,-657.3766,اصلی,32.04,5.76,0.49,0.00,24.9874,-0.5490,0.9835,101,492.0508,-74.85,0.00,0.00,97,0,-6.7771,8.0705,24.5420,-24.7452,15.46,7.0376,-9.3042,17,48.48,13.00,-0.840,-1.296,-690.77,0,-0.118
aggregated,Best_1h_SOLUSDT-1m,SOLUSDT-1m,827,168,659,20.31,-11.00,22,-97.27,2.962,-0.078,-80.5040,-80.5040,اصلی,20.31,8.95,0.85,0.00,11.4942,-0.4998,1.2402,170,247.8646,-307.89,0.00,0.00,70,0,-1.1501,4.2655,12.2932,-9.4962,34.29,3.3258,-3.4853,16,11.81,3.41,-0.270,-0.505,-96.67,0,-0.143
aggregated,Best_1h_BTCUSDT-1m_ETHUSDT-1m,BTCUSDT-1m_ETHUSDT-1m,3099,942,2157,30.40,-11.00,22,-181.01,2.187,-0.011,-48.2820,-48.2820,اصلی,30.40,8.68,1.10,0.00,29.1853,-0.4998,1.4827,127,700.1243,-1450.07,0.00,0.00,101,0,-0.4780,9.9587,52.7603,-15.3945,40.59,8.1136,-6.3490,8,30.68,6.34,-0.048,-0.124,-172.11,0,-0.033
aggregated,Best_1h_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,4139,1321,2818,31.92,-11.00,22,-324.37,1.808,-0.039,-212.9724,-212.9724,اصلی,31.92,7.71,0.87,0.00,29.1853,-0.4998,1.3292,145,763.8600,-358.67,0.00,0.00,101,0,-2.1086,10.0974,53.0594,-16.2419,30.69,9.0174,-7.0359,8,40.98,9.94,-0.209,-0.483,-315.46,0,-0.080
aggregated,Best_1h_BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_SOLUSDT-1m,3926,1110,2816,28.27,-11.00,22,-223.66,2.304,-0.023,-128.7860,-128.7860,اصلی,28.27,8.74,1.04,0.00,29.1853,-0.4998,1.4352,161,868.0624,-674.03,0.00,0.00,101,0,-1.2751,10.5499,56.5579,-15.9942,37.62,8.6374,-7.2541,8,38.87,8.90,-0.121,-0.281,-213.33,0,-0.072
aggregated,Best_1h_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,4966,1489,3477,29.98,-11.00,22,-369.95,1.938,-0.045,-293.4764,-293.4764,اصلی,29.98,7.91,0.87,0.00,29.1853,-0.4998,1.3148,179,931.7981,-317.50,0.00,0.00,101,0,-2.9057,10.6104,56.8570,-17.7387,29.70,9.0130,-7.9418,8,49.17,14.57,-0.274,-0.575,-364.42,0,-0.096
aggregated,Best_5m_XRPUSDT-1m,XRPUSDT-1m,16381,6364,10017,38.85,-13.47,2,-1735.31,1.040,-0.110,-1734.7108,-1734.7108,اصلی,38.85,6.17,0.48,0.06,24.9874,-13.0280,0.9638,360,1527.2884,-88.04,0.00,0.00,97,0,-17.8836,13.1470,30.3748,-46.4419,7.22,15.0481,-20.4450,28,168.88,25.83,-1.360,-1.947,-1734.71,0,-0.124
aggregated,Best_30m_BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,BTCUSDT-1m_ETHUSDT-1m_PAXGUSDT-1m,8297,2830,5467,34.11,-11.50,23,-622.71,1.489,-0.068,-620.8061,-620.8061,اصلی,34.11,7.46,0.67,0.00,27.0864,-0.5490,1.0993,255,1202.7502,-193.74,0.00,0.00,101,0,-6.1466,11.9932,36.8542,-39.6001,27.72,8.2417,-11.6654,10,82.15,16.84,-0.513,-0.792,-620.81,0,-0.119
aggregated,Best_30m_ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,ETHUSDT-1m_PAXGUSDT-1m_SOLUSDT-1m,6674,2126,4548,31.85,-11.50,23,-582.36,1.600,-0.076,-568.0665,-568.0665,اصلی,31.85,7.72,0.64,0.00,27.0864,-0.5490,1.1186,200,955.5055,-168.20,0.00,0.00,101,0,-5.6244,10.6043,20.8924,-36.0774,24.75,7.0611,-9.7973,12,66.08,26.78,-0.530,-0.683,-578.47,0,-0.117
aggregated,Best_1h_XRPUSDT-1m,XRPUSDT-1m,1119,265,854,23.68,-11.50,23,-154.41,2.055,-0.100,-154.1186,-154.1186,اصلی,23.68,6.43,0.89,0.00,31.2843,-0.4998,1.3793,269,270.7114,-175.65,0.00,0.00,97,0,-1.5889,5.1303,35.7814,-9.1965,23.71,4.4929,-3.4791,13,11.54,3.52,-0.310,-0.941,-154.12,0,-0.124
aggregated,Best_1h_BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,BTCUSDT-1m_SOLUSDT-1m_XRPUSDT-1m,3822,1042,2780,27.26,-11.50,23,-288.76,2.123,-0.057,-282.7619,-282.7619,اصلی,27.26,8.11,0.92,0.00,31.2843,-0.4998,1.3000,142,728.6107,-257.68,0.00,0.00,101,0,-2.7996,9.1103,34.1810,-19.0031,30.69,7.6069,-7.4082,8,37.84,9.63,-0.307,-0.635,-285.46,0,-0.118
